month,boutique,market,region,location_type,sales_advisor,sales_amount,target_amount,attainment_pct,clienteling_score,return_adjustment,bonus_eligible,estimated_payout,payout_status,exception_flag,exception_reason
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 6,332741.9,355953.08,0.9348,0.2955,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 7,363469.32,299715.92,1.2127,0.2545,0.0,Yes,5452.04,Ready,No,Payout ready
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 8,394201.18,320604.38,1.2296,0.4909,5913.02,No,0.0,Review,Yes,Return adjustment review
2025-01,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 9,345281.78,251321.48,1.3739,0.3519,5179.23,Yes,0.0,Ready,No,Payout ready
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 1,381992.33,451311.59,0.8464,0.3,5729.88,No,0.0,Review,Yes,Below payout threshold
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 10,434907.59,377630.06,1.1517,0.375,0.0,Yes,6523.61,Ready,No,Payout ready
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 11,340863.74,378748.62,0.9,0.2281,5112.96,No,0.0,Review,Yes,Near threshold review
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 12,339967.21,423841.08,0.8021,0.4483,5099.51,No,0.0,Review,Yes,Below payout threshold
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 2,534425.3,610907.55,0.8748,0.25,8016.38,No,0.0,Review,Yes,Return adjustment review
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 3,397078.29,638934.52,0.6215,0.25,5956.17,No,0.0,Review,Yes,Below payout threshold
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 4,491254.02,514396.35,0.955,0.1778,7368.81,Yes,0.0,Ready,No,Payout ready
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 5,357438.49,316381.19,1.1298,0.3077,5361.58,No,0.0,Review,Yes,Return adjustment review
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 6,446287.93,521377.67,0.856,0.2623,6694.32,No,0.0,Review,Yes,Return adjustment review
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 7,439138.94,459111.15,0.9565,0.3571,6587.08,No,0.0,Review,Yes,Return adjustment review
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 8,473425.39,519952.66,0.9105,0.339,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Dallas,South,Americas,Fashion Boutique,Dallas Advisor 9,421293.21,424479.35,0.9925,0.4167,0.0,Yes,5055.52,Ready,No,Payout ready
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 1,220018.77,256711.97,0.8571,0.3,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 10,277145.92,337829.61,0.8204,0.3333,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 2,357400.31,363607.49,0.9829,0.2333,0.0,Yes,4288.8,Ready,No,Payout ready
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 3,623026.65,663681.78,0.9387,0.3226,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 4,219432.13,209948.69,1.0452,0.2581,0.0,Yes,2633.19,Ready,No,Payout ready
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 5,498450.52,419974.37,1.1869,0.2258,0.0,Yes,7476.76,Ready,No,Payout ready
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 6,267114.6,253110.03,1.0553,0.2979,0.0,Yes,3205.38,Ready,No,Payout ready
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 7,436202.56,433582.47,1.006,0.2759,0.0,Yes,5234.43,Ready,No,Payout ready
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 8,395550.26,408978.21,0.9672,0.3667,0.0,Yes,4746.6,Ready,No,Payout ready
2025-01,Fifth Avenue Beauty,New York,Americas,Fragrance & Beauty Boutique,Fifth Advisor 9,590412.84,464609.61,1.2708,0.3478,0.0,Yes,8856.19,Ready,No,Payout ready
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 1,633588.71,800569.77,0.7914,0.2703,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 10,535148.32,541907.63,0.9875,0.303,8027.22,Yes,0.0,Ready,No,Payout ready
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 11,263585.95,290037.03,0.9088,0.3514,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 12,580137.41,725627.04,0.7995,0.3704,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 13,532730.22,731473.99,0.7283,0.2703,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 14,471269.68,455838.37,1.0339,0.2647,0.0,Yes,5655.24,Ready,No,Payout ready
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 15,650636.67,689534.53,0.9436,0.3,9759.55,No,0.0,Review,Yes,Near threshold review
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 16,541441.47,521134.84,1.039,0.0741,8121.62,No,0.0,Review,Yes,Return adjustment review
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 17,451999.03,410264.19,1.1017,0.1892,6779.99,Yes,0.0,Ready,No,Payout ready
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 18,617133.41,602367.9,1.0245,0.3333,0.0,Yes,7405.6,Review,Yes,Target validation needed
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 2,313979.23,287751.91,1.0911,0.2121,0.0,Yes,3767.75,Ready,No,Payout ready
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 3,345530.27,377804.84,0.9146,0.4444,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 4,673131.64,661380.62,1.0178,0.2,10096.97,Yes,0.0,Ready,No,Payout ready
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 5,575399.71,607006.18,0.9479,0.3684,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 6,491919.21,632428.78,0.7778,0.28,7378.79,No,0.0,Review,Yes,Target validation needed
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 7,526809.08,663881.6,0.7935,0.4103,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 8,545811.23,500046.78,1.0915,0.4444,0.0,Yes,6549.73,Ready,No,Payout ready
2025-01,Madison Avenue,New York,Americas,Fashion Flagship,Madison Advisor 9,328020.58,327590.62,1.0013,0.225,0.0,Yes,3936.25,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 1,445100.36,404489.13,1.1004,0.4259,6676.51,No,0.0,Review,Yes,Return adjustment review
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 10,414737.82,402060.87,1.0315,0.3125,6221.07,No,0.0,Review,Yes,Return adjustment review
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 11,446508.16,398635.24,1.1201,0.2812,0.0,Yes,6697.62,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 12,280281.94,288011.72,0.9732,0.1852,0.0,Yes,3363.38,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 2,646733.08,690282.56,0.9369,0.3478,9701.0,No,0.0,Review,Yes,Near threshold review
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 3,369599.99,328550.76,1.1249,0.2449,0.0,Yes,5544.0,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 4,681994.17,650389.57,1.0486,0.3462,10229.91,Yes,0.0,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 5,433138.09,316718.37,1.3676,0.3043,6497.07,Yes,0.0,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 6,690206.99,597706.38,1.1548,0.2174,10353.1,Yes,0.0,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 7,457604.61,405832.32,1.1276,0.3529,6864.07,Yes,0.0,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 8,495996.36,497225.7,0.9975,0.283,0.0,Yes,5951.96,Ready,No,Payout ready
2025-01,Miami Design District,Southeast,Americas,Fashion Boutique,Miami Advisor 9,711472.51,741600.33,0.9594,0.2703,10672.09,Yes,0.0,Ready,No,Payout ready
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 1,660250.77,721975.1,0.9145,0.2903,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 10,413205.59,628600.04,0.6573,0.3077,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 11,414729.59,350655.69,1.1827,0.2188,0.0,Yes,6220.94,Ready,No,Payout ready
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 12,393420.45,474236.43,0.8296,0.2549,5901.31,No,0.0,Review,Yes,Below payout threshold
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 2,690551.2,575725.63,1.1994,0.3864,10358.27,Yes,0.0,Ready,No,Payout ready
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 3,497635.47,457041.42,1.0888,0.3636,0.0,Yes,5971.63,Ready,No,Payout ready
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 4,648606.0,703602.51,0.9218,0.3191,9729.09,No,0.0,Review,Yes,Near threshold review
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 5,656531.39,666811.23,0.9846,0.2308,0.0,Yes,7878.38,Ready,No,Payout ready
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 6,476254.25,442670.62,1.0759,0.3167,7143.81,No,0.0,Review,Yes,Return adjustment review
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 7,451053.5,447022.28,1.009,0.2051,6765.8,No,0.0,Review,Yes,Return adjustment review
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 8,361532.38,512342.04,0.7056,0.3182,5422.99,No,0.0,Review,Yes,Below payout threshold
2025-01,San Francisco,West Coast,Americas,Fashion Boutique,San Advisor 9,422409.88,376146.39,1.123,0.3519,0.0,Yes,6336.15,Ready,No,Payout ready
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 1,309138.9,346812.51,0.8914,0.3214,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 10,504453.65,519286.25,0.9714,0.4186,0.0,Yes,6053.44,Ready,No,Payout ready
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 11,407343.28,528504.41,0.7707,0.371,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 12,598530.67,532585.44,1.1238,0.3077,8977.96,Yes,0.0,Ready,No,Payout ready
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 2,419848.19,603998.13,0.6951,0.2245,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 3,649860.36,686613.34,0.9465,0.2931,9747.91,No,0.0,Review,Yes,Near threshold review
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 4,709861.84,758620.9,0.9357,0.2857,10647.93,No,0.0,Review,Yes,Near threshold review
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 5,364997.2,431930.19,0.845,0.2308,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 6,433184.52,516961.54,0.8379,0.4348,6497.77,No,0.0,Review,Yes,Target validation needed
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 7,508256.99,398362.77,1.2759,0.2826,0.0,Yes,7623.85,Ready,No,Payout ready
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 8,712352.52,731627.62,0.9737,0.2381,10685.29,Yes,0.0,Ready,No,Payout ready
2025-01,SoHo,New York,Americas,Fashion Boutique,SoHo Advisor 9,318620.24,270989.29,1.1758,0.2889,0.0,Yes,4779.3,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 1,306914.26,339258.33,0.9047,0.4054,4603.71,No,0.0,Review,Yes,Near threshold review
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 10,418557.25,482155.82,0.8681,0.4,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 11,510769.64,508775.3,1.0039,0.2273,7661.54,Yes,0.0,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 12,495956.62,399723.38,1.2407,0.3111,0.0,Yes,7439.35,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 13,370566.82,499851.59,0.7414,0.325,0.0,No,0.0,Review,Yes,Below payout threshold
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 14,518071.32,465475.91,1.113,0.2368,7771.07,Yes,0.0,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 2,529085.53,456998.56,1.1577,0.2857,0.0,Yes,7936.28,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 3,485055.24,477262.68,1.0163,0.2826,0.0,Yes,5820.66,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 4,439658.69,417518.01,1.053,0.2439,6594.88,Yes,0.0,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 5,315860.55,390928.09,0.808,0.234,4737.91,No,0.0,Review,Yes,Return adjustment review
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 6,486955.47,526838.69,0.9243,0.2979,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 7,522951.57,540350.94,0.9678,0.2273,0.0,Yes,6275.42,Ready,No,Payout ready
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 8,400174.16,459865.55,0.8702,0.2143,0.0,No,0.0,Review,Yes,Near threshold review
2025-01,South Coast Plaza,West Coast,Americas,Fashion + Beauty Boutique,South Advisor 9,602594.6,773620.01,0.7789,0.3617,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 1,408866.73,382162.58,1.0699,0.3778,0.0,Yes,4906.4,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 10,292787.3,434314.6,0.6741,0.359,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 11,270316.92,287618.66,0.9398,0.3448,0.0,No,0.0,Review,Yes,Near threshold review
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 12,530131.55,503393.18,1.0531,0.4118,0.0,Yes,6361.58,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 13,413264.81,374511.41,1.1035,0.4062,0.0,Yes,6198.97,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 14,686820.8,683173.22,1.0053,0.1707,10302.31,Yes,0.0,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 15,479487.86,584186.42,0.8208,0.32,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 16,525071.2,646039.38,0.8128,0.1818,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 17,422818.68,414926.51,1.019,0.2564,0.0,Yes,5073.82,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 18,384309.92,338423.34,1.1356,0.2564,0.0,Yes,5764.65,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 2,477294.03,341645.99,1.397,0.3333,0.0,Yes,7159.41,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 3,839199.95,777473.18,1.0794,0.2821,12588.0,Yes,0.0,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 4,384937.34,567056.36,0.6788,0.4242,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 5,451714.38,504932.78,0.8946,0.4375,0.0,No,0.0,Review,Yes,Near threshold review
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 6,498485.17,697162.73,0.715,0.3333,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 7,565753.07,467084.69,1.2112,0.2,0.0,Yes,8486.3,Ready,No,Payout ready
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 8,462152.38,599741.4,0.7706,0.3548,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Beverly Advisor 9,440669.24,343627.85,1.2824,0.4167,0.0,Yes,6610.04,Ready,No,Payout ready
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 1,240881.41,221189.4,1.089,0.3667,0.0,Yes,2890.58,Ready,No,Payout ready
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 10,271268.27,281440.88,0.9639,0.2456,0.0,Yes,3255.22,Ready,No,Payout ready
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 2,393776.83,390105.59,1.0094,0.4386,0.0,Yes,4725.32,Ready,No,Payout ready
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 3,438986.95,457908.2,0.9587,0.3016,0.0,Yes,5267.84,Ready,No,Payout ready
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 4,145939.64,162090.28,0.9004,0.3208,0.0,No,0.0,Review,Yes,Near threshold review
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 5,193700.01,209603.13,0.9241,0.3913,0.0,No,0.0,Review,Yes,Near threshold review
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 6,119773.13,182294.75,0.657,0.3091,0.0,No,0.0,Review,Yes,Below payout threshold
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 7,487929.78,451038.96,1.0818,0.2154,0.0,Yes,5855.16,Ready,No,Payout ready
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 8,539793.43,543252.81,0.9936,0.35,0.0,Yes,6477.52,Ready,No,Payout ready
2025-02,Boston Beauty,Northeast,Americas,Fragrance & Beauty Boutique,Boston Advisor 9,305810.19,295368.36,1.0354,0.3934,0.0,Yes,3669.72,Ready,No,Payout ready
2025-02,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 1,399793.72,432677.0,0.924,0.3333,5996.91,No,0.0,Review,Yes,Near threshold review
2025-02,Chicago,Midwest,Americas,Fashion Boutique,Chicago Advisor 10,261987.71,263922.63,0.9927,0.2295,0.0,Yes,3143.85,Ready,No,Payout ready
