month,boutique,market,region,location_type,division,category,monthly_sales_target,traffic_target,conversion_target,clienteling_target
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1818152.72,1345,0.243,528
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,616315.86,3004,0.319,281
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,418236.8,4413,0.298,391
2025-03,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,855396.73,1292,0.239,334
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,3066146.23,1840,0.295,590
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,773906.01,2987,0.21,261
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,760850.09,4923,0.275,309
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,481930.02,4370,0.299,357
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,308526.91,4498,0.243,622
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,837149.02,4069,0.256,594
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,2075169.77,5187,0.242,541
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,623962.11,4304,0.272,592
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,349040.84,4554,0.254,426
2025-04,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,768972.63,2159,0.327,466
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,3020644.81,2337,0.336,255
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,846676.93,2409,0.23,636
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,709441.92,4731,0.209,442
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,548965.41,2972,0.204,313
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,276651.49,4506,0.298,461
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,836576.12,3132,0.327,166
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1745564.58,5198,0.299,565
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,710443.65,1287,0.259,218
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,381930.97,1937,0.32,209
2025-05,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,678863.47,5037,0.286,355
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,2847942.29,4183,0.303,418
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,737635.09,3010,0.255,588
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,645789.85,3131,0.25,207
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,458894.6,2319,0.273,197
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,300375.37,4108,0.251,225
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,904649.72,4357,0.182,611
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,2069617.69,1556,0.248,159
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,571092.59,2215,0.292,153
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,409805.22,3131,0.246,529
2025-06,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,817329.41,4698,0.34,472
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,2998094.46,1138,0.197,502
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,743462.91,3620,0.324,224
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,578229.35,4863,0.2,247
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,493748.46,3767,0.273,475
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,290280.34,4662,0.304,173
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,812287.03,1161,0.221,312
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1812598.42,1947,0.244,486
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,712186.0,3218,0.189,558
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,359333.83,4375,0.262,485
2025-07,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,803200.43,4666,0.264,537
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,2473387.9,3411,0.197,127
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,668392.78,2145,0.32,222
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,564515.85,2122,0.243,532
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,354813.29,2069,0.308,179
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,237919.63,1568,0.334,154
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,597648.62,1601,0.26,169
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1716739.61,2979,0.279,277
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,595513.97,3837,0.328,468
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,356382.24,1651,0.331,428
2025-08,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,662895.66,3863,0.269,313
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,2848162.25,4428,0.228,391
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,813763.94,2462,0.212,250
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,677806.36,1825,0.193,199
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,501189.98,4198,0.208,204
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,271838.72,3301,0.251,484
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,832554.85,1651,0.318,391
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1865401.32,4277,0.323,640
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,732901.39,4218,0.274,665
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,419016.55,1346,0.222,238
2025-09,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,779963.63,1730,0.294,458
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,3233576.74,5034,0.325,223
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,856082.67,4415,0.185,391
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,790443.03,2781,0.28,478
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,541137.58,3538,0.239,346
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,345806.98,3660,0.341,590
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,732427.11,4435,0.224,683
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,2178084.52,1366,0.221,572
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,718243.0,4504,0.206,575
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,399875.77,3395,0.261,266
2025-10,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,977875.23,4754,0.187,169
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,3213312.74,4748,0.258,603
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,863243.12,4222,0.194,608
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,776654.02,1873,0.227,495
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,606480.39,1531,0.262,760
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,367736.98,5681,0.307,198
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,1022809.9,3789,0.221,758
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,2563722.87,2759,0.235,463
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,841959.33,3991,0.295,263
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,432586.82,4239,0.271,223
2025-11,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,1115980.86,4709,0.242,525
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Handbags,3702145.0,6600,0.22,424
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Small Leather Goods,1111367.39,5496,0.207,681
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Costume Jewelry,987677.13,4573,0.294,837
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Other Accessories,720927.35,6101,0.228,637
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Eyewear,387097.71,4612,0.284,665
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,1265487.26,6790,0.262,908
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Ready-to-Wear,2398098.61,4079,0.348,230
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Fashion,Footwear,822551.66,3609,0.296,599
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,553448.27,3291,0.338,663
2025-12,Madison Avenue,New York,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,1154650.96,4413,0.304,406
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2044842.02,4261,0.323,419
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,631203.5,3903,0.318,464
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,549911.8,1584,0.329,209
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,363240.19,4319,0.231,151
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,232408.14,2984,0.333,527
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,648664.1,2524,0.237,288
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1548345.14,3771,0.329,385
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,570696.55,2041,0.3,492
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,312499.56,2515,0.308,234
2025-01,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,667774.89,3600,0.311,492
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2579445.4,2984,0.321,362
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,633117.85,1719,0.252,445
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,549624.93,1824,0.281,576
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,388452.5,3721,0.184,248
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,236848.53,3870,0.198,401
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,712665.92,3654,0.22,445
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1862391.51,3967,0.215,415
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,536017.87,2989,0.337,486
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,341058.47,1867,0.335,297
2025-02,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,606284.22,1718,0.186,279
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2111243.1,2214,0.258,285
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,618256.28,2872,0.233,601
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,585236.74,1845,0.239,294
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,497669.26,2099,0.262,356
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,194986.55,2995,0.237,195
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,652560.69,4464,0.316,195
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1475969.5,4435,0.249,443
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,545349.81,3672,0.331,231
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,326796.39,3209,0.348,419
2025-03,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,672878.64,3567,0.249,441
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2235357.58,2609,0.242,268
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,643070.55,2133,0.312,542
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,517552.91,1327,0.211,519
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,428935.04,4630,0.217,427
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,231406.45,4288,0.249,635
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,718374.58,5145,0.204,176
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1942985.4,2908,0.322,618
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,626575.87,2799,0.24,459
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,334422.68,1348,0.322,160
2025-04,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,719979.45,4054,0.284,459
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2592654.33,2587,0.226,399
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,743083.69,1610,0.206,360
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,587381.9,4078,0.24,286
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,512879.17,1369,0.193,264
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,257228.21,4236,0.198,257
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,633844.58,3088,0.289,236
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1788551.47,1966,0.347,633
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,544335.7,5204,0.2,160
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,358113.99,2802,0.252,644
2025-05,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,772648.3,4903,0.29,167
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2289974.99,1382,0.249,188
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,758337.09,2572,0.292,546
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,643791.56,1510,0.259,183
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,450141.32,5010,0.192,451
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,283246.25,1896,0.279,385
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,551246.98,1588,0.304,326
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1678670.4,3181,0.28,581
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,551388.08,4615,0.201,336
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,339439.3,4424,0.306,409
2025-06,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,651459.11,4764,0.2,256
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2308999.08,4742,0.316,190
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,627401.22,3255,0.333,353
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,613347.41,3036,0.186,203
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,377034.2,2055,0.261,323
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,253846.66,4260,0.305,352
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,556254.38,2655,0.271,174
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1493834.76,2041,0.325,177
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,567838.93,4052,0.295,466
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,345679.52,1330,0.316,297
2025-07,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,613719.01,3575,0.299,299
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2169387.89,1439,0.328,531
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,556998.58,2274,0.207,414
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,555534.87,2253,0.285,214
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,335251.57,3372,0.288,404
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,207816.28,2160,0.288,304
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,553492.73,3413,0.297,320
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1495238.68,3600,0.188,373
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,491998.35,1760,0.309,127
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,307729.08,1406,0.252,447
2025-08,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,508875.25,3316,0.298,427
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2834224.48,5226,0.342,404
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,615671.33,4654,0.216,492
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,585105.53,3159,0.327,374
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,407586.99,5074,0.309,562
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,245183.11,2896,0.337,562
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,713059.32,1806,0.214,622
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1893578.73,1381,0.28,232
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,609537.4,1896,0.303,168
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,291159.58,1366,0.334,436
2025-09,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,666516.51,2424,0.216,325
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,2787832.29,4452,0.33,619
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,633185.2,4529,0.214,298
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,631941.22,3437,0.281,244
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,507988.14,5105,0.339,524
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,304124.47,3579,0.292,392
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,724394.72,1769,0.262,303
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,2154755.48,2776,0.285,325
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,636565.66,2083,0.187,493
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,430696.19,3230,0.249,653
2025-10,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,764067.18,4519,0.343,650
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,3543942.46,4610,0.266,242
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,854431.67,3336,0.283,590
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,707478.16,2383,0.281,481
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,470997.61,6109,0.202,191
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,311566.79,5574,0.22,589
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,664112.26,3324,0.328,317
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Ready-to-Wear,1974854.28,5313,0.281,579
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Footwear,656584.87,1781,0.235,699
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Watches,409766.75,5082,0.257,663
2025-11,Beverly Hills,West Coast,Americas,Fashion Flagship,Watches & Fine Jewelry,Fine Jewelry,829259.49,4991,0.321,495
2025-12,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Handbags,4305389.53,6216,0.305,900
2025-12,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Small Leather Goods,858740.38,4054,0.317,433
2025-12,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Costume Jewelry,866733.08,5085,0.19,627
2025-12,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Other Accessories,612761.22,7139,0.195,440
2025-12,Beverly Hills,West Coast,Americas,Fashion Flagship,Fashion,Eyewear,349104.05,3419,0.279,472
2025-12,Beverly Hills,West Coast,Americas,Fashion Flagship,Fragrance & Beauty,Fragrance & Beauty,1012328.68,6672,0.27,426
